AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,AgeuponOutcome(Weeks)
A687811,Ringo,2014-09-14 14:27:00,Transfer,Partner,Dog,Intact Male,Labrador Retriever/Australian Shepherd,Brown/White,13.5
A665653,,2013-10-23 17:30:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,9.0
A664450,Miley,2013-10-05 12:01:00,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Tan,260.0
A706257,Quill,2015-07-02 17:50:00,Adoption,,Dog,Neutered Male,German Shepherd Mix,Brown,9.0
A706610,Mindy Lou,2015-08-23 13:20:00,Adoption,,Dog,Spayed Female,Australian Shepherd Mix,Tan,104.0
A691586,Cassidy,2014-12-24 17:33:00,Transfer,Partner,Dog,Spayed Female,Pit Bull Mix,Tan/White,52.0
A678115,,2014-05-04 13:52:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby,0.42857142857142855
A662880,Orange,2013-10-06 14:18:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,9.0
A709342,,2015-08-28 11:23:00,Transfer,Partner,Dog,Neutered Male,Dachshund Mix,Chocolate,208.0
A716675,Sirius,2015-11-29 17:30:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown,156.0
A690892,,2014-10-28 09:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Blue Tabby,27.0
A716923,Kiko,2015-11-30 18:51:00,Return_to_owner,,Cat,Spayed Female,Domestic Shorthair Mix,Black Tabby/Orange,52.0
A711695,Mollie,2015-09-11 12:12:00,Return_to_owner,,Dog,Spayed Female,Border Collie Mix,Black/White,364.0
A703868,,2015-05-29 18:52:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Calico,3.0
A718425,King,2015-12-30 18:28:00,Return_to_owner,,Dog,Neutered Male,Anatol Shepherd/Siberian Husky,Buff/White,9.0
A678793,Norman,2014-07-12 19:17:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,13.5
A719471,Jordy,2016-01-25 17:02:00,Adoption,,Dog,Neutered Male,Australian Cattle Dog Mix,Blue Tick,156.0
A684376,Jasper,2014-07-27 11:56:00,Transfer,Partner,Dog,Intact Male,Australian Kelpie Mix,Brown Brindle,18.0
A702338,Sparks,2015-05-16 18:29:00,Adoption,,Dog,Neutered Male,Basenji/Chihuahua Shorthair,Tan/White,52.0
A667933,,2013-11-30 15:41:00,Adoption,,Dog,Neutered Male,Border Collie Mix,Black/White,208.0
A678531,,2014-05-10 11:17:00,Transfer,Partner,Cat,Intact Male,Domestic Medium Hair Mix,Black/White,3.0
A690273,,2014-10-22 12:53:00,Transfer,Partner,Dog,Intact Female,Labrador Retriever Mix,Black/White,4.5
A710883,Mary,2015-10-13 14:00:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,9.0
A719789,Ginger,2016-02-05 19:28:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown,13.5
A688471,Bran,2014-11-21 11:30:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,13.5
A677458,Buddy,2015-03-28 15:53:00,Adoption,,Dog,Neutered Male,Labrador Retriever/Boxer,Brown/White,104.0
A689871,Mocha,2014-12-27 16:14:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Chocolate/White,52.0
A690235,Forrest,2014-10-24 12:08:00,Euthanasia,Suffering,Dog,Neutered Male,Siberian Husky Mix,Black/White,416.0
A719445,,2016-01-26 19:09:00,Transfer,SCRP,Cat,Neutered Male,Domestic Shorthair Mix,Black,36.0
A709238,Penny,2015-08-15 08:06:00,Died,In Kennel,Cat,Intact Female,Domestic Medium Hair Mix,Brown Tabby/White,4.5
A718024,Snickerdood,2016-01-02 18:11:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Cream Tabby,9.0
A669600,,2013-12-24 12:10:00,Adoption,,Cat,Intact Female,Domestic Medium Hair Mix,Blue,27.0
A694590,Snowbelle,2015-01-04 18:36:00,Adoption,,Dog,Spayed Female,Catahoula Mix,White,13.5
A697567,Wilbur,2015-03-23 18:21:00,Adoption,,Dog,Neutered Male,Pit Bull Mix,Tricolor,208.0
A683025,,2014-07-10 17:16:00,Adoption,,Dog,Neutered Male,Dachshund Mix,Red Tick/White,104.0
A685211,Myka,2014-08-17 11:30:00,Adoption,,Dog,Spayed Female,Australian Kelpie Mix,Tan,52.0
A619084,Dude,2015-06-10 13:30:00,Return_to_owner,,Dog,Neutered Male,Labrador Retriever Mix,Black,156.0
A703435,Marty,2015-05-29 12:30:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan,104.0
A660357,Phoebe,2013-10-26 13:43:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,18.0
A693578,Little Bit,2015-01-07 18:27:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,624.0
A610772,Max,2014-04-23 10:01:00,Euthanasia,Aggressive,Dog,Neutered Male,Chihuahua Longhair/Pomeranian,Tan/White,208.0
A663886,Trudy,2013-10-01 15:08:00,Euthanasia,Medical,Dog,Spayed Female,Pit Bull Mix,Black/White,104.0
A672012,Marty,2014-02-13 16:36:00,Transfer,Partner,Dog,Neutered Male,Pug/Chihuahua Shorthair,Tan/White,52.0
A718625,Jenner,2016-01-17 12:32:00,Transfer,Partner,Dog,Intact Male,Dachshund Wirehair/Rat Terrier,Tricolor,13.5
A696230,,2015-02-04 16:55:00,Adoption,,Cat,Neutered Male,Domestic Medium Hair Mix,Black/White,13.5
A623219,Bear,2015-06-01 19:07:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Blue Tiger/White,156.0
A678078,Hershey,2014-07-13 18:55:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,13.5
A706812,,2015-07-18 19:49:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,9.0
A718155,Frito,2015-12-28 17:17:00,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,104.0
A710608,Mambo,2015-10-11 14:02:00,Transfer,Partner,Cat,Spayed Female,Domestic Medium Hair Mix,Blue Tabby,9.0
A681080,Batman,2014-11-22 11:32:00,Return_to_owner,,Dog,Neutered Male,Border Terrier Mix,Tan,156.0
A681103,Sweety Pie,2014-06-13 12:57:00,Return_to_owner,,Dog,Spayed Female,Miniature Poodle Mix,Apricot/Brown,260.0
A692718,Lucy,2014-11-24 18:58:00,Return_to_owner,,Dog,Spayed Female,Pit Bull Mix,Brown/White,312.0
A718672,,2016-01-06 19:05:00,Return_to_owner,,Dog,Intact Male,Black/Tan Hound,Black/Tan,45.0
A700600,Ted,2015-05-01 15:03:00,Transfer,Partner,Dog,Neutered Male,Dachshund Mix,Tan,520.0
A684057,Zachary,2014-09-04 14:57:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Brown,520.0
A682159,,2014-06-25 11:03:00,Transfer,Partner,Cat,Intact Male,Domestic Longhair Mix,Black/White,3.0
A706070,Skunk,2015-07-18 15:20:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Black,4.5
A706926,Clem,2015-08-15 16:19:00,Adoption,,Cat,Neutered Male,Domestic Shorthair,Blue,13.5
A697665,Canelo,2015-03-14 12:49:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan,52.0
A716376,,2015-12-17 11:33:00,Adoption,Foster,Dog,Spayed Female,Boxer Mix,Red/White,4.5
A690234,Hershey,2015-02-01 18:15:00,Return_to_owner,,Dog,Neutered Male,Chihuahua Shorthair/Dachshund,Chocolate/Tan,52.0
A701798,,2015-05-05 16:37:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,4.5
A714383,,2015-10-27 19:03:00,Adoption,,Dog,Neutered Male,Beagle Mix,Brown/Tan,9.0
A687954,Roscoe,2014-09-14 11:22:00,Return_to_owner,,Dog,Neutered Male,Labrador Retriever Mix,Yellow,156.0
A605804,Shayla,2015-03-27 14:58:00,Euthanasia,Aggressive,Dog,Spayed Female,Australian Cattle Dog Mix,White/Black,208.0
A640739,Sophie,2014-11-22 14:40:00,Transfer,Partner,Dog,Spayed Female,Pit Bull Mix,Brown/White,156.0
A669967,Nikko,2013-12-31 17:15:00,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Brown/White,4.5
A701801,Boo,2015-05-11 17:33:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,156.0
A709191,Chaca,2015-08-11 17:00:00,Adoption,,Dog,Spayed Female,Rottweiler Mix,Black/Tan,9.0
A697970,Collins,2015-03-14 18:00:00,Adoption,,Dog,Neutered Male,Border Terrier Mix,White/Orange,104.0
A613161,Lady,2014-06-29 14:27:00,Adoption,,Dog,Spayed Female,German Shepherd Mix,Brown/Black,156.0
A720819,Yuki Kisses,2016-02-21 17:50:00,Adoption,,Dog,Spayed Female,Australian Cattle Dog Mix,White/Red,31.5
A671503,Max,2014-02-03 18:11:00,Adoption,,Dog,Neutered Male,Beagle/Dachshund,White/Brown,104.0
A694059,Simon,2014-12-29 15:40:00,Adoption,,Dog,Neutered Male,Boxer/Staffordshire,Black/White,260.0
A688667,,2014-10-02 14:40:00,Transfer,Partner,Dog,Spayed Female,Labrador Retriever Mix,Black,9.0
A698681,,2015-03-20 17:24:00,Adoption,,Dog,Neutered Male,Border Terrier Mix,Gray/White,22.5
A717977,,2015-12-23 17:19:00,Adoption,,Dog,Neutered Male,Miniature Schnauzer Mix,Gray/White,104.0
A698177,,2015-03-10 18:55:00,Adoption,,Dog,Neutered Male,Maltese Mix,White,208.0
A670569,,2014-01-17 17:47:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,18.0
A693065,Zulma,2014-12-01 16:36:00,Return_to_owner,,Cat,Intact Female,Domestic Medium Hair Mix,Torbie,208.0
A711999,Oreo,2015-09-18 15:31:00,Transfer,Partner,Dog,Neutered Male,Boston Terrier/Dachshund,Black/White,156.0
A686209,Angel,2014-09-17 16:47:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,676.0
A685967,Jessie,2014-12-17 12:13:00,Transfer,Partner,Dog,Spayed Female,Dachshund Wirehair Mix,Gray/White,104.0
A675990,Pixie,2014-04-03 13:41:00,Return_to_owner,,Dog,Spayed Female,Australian Shepherd Mix,Tricolor,364.0
A718058,Trixie,2015-12-27 18:57:00,Adoption,,Dog,Spayed Female,Doberman Pinsch Mix,Black/Tan,364.0
A702577,Sunny,2015-05-16 15:13:00,Return_to_owner,,Dog,Neutered Male,Australian Cattle Dog/Labrador Retriever,Brown/White,104.0
A690616,,2014-10-23 17:07:00,Transfer,Partner,Dog,Intact Male,German Shepherd,Tan/Black,18.0
A653028,Miss Black,2013-11-11 12:22:00,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Black,52.0
A704195,Bullet,2015-06-13 11:39:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Red/White,156.0
A665611,,2013-10-20 15:00:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,3.0
A710324,Lilac,2015-10-20 09:36:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White,13.5
A687503,Dahmer,2014-09-06 11:26:00,Return_to_owner,,Dog,Neutered Male,Bulldog Mix,Tan/White,728.0
A718749,Sebastian,2016-01-10 17:05:00,Adoption,,Dog,Neutered Male,Labrador Retriever/Great Pyrenees,Black/White,9.0
A710185,Django,2015-08-26 18:57:00,Adoption,,Dog,Neutered Male,Australian Cattle Dog Mix,Blue Merle,18.0
A694472,Thing 3,2015-03-26 07:36:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,9.0
A694152,Prancer,2015-02-03 13:03:00,Adoption,Foster,Cat,Spayed Female,Domestic Longhair,Blue,13.5
A609229,Lucy,2015-04-30 14:41:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,156.0
A681350,,2014-06-16 19:15:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Calico,52.0
A688211,Pee Wee,2014-11-04 08:30:00,Adoption,Foster,Dog,Neutered Male,Chihuahua Shorthair/Toy Fox Terrier,Red,156.0
A720828,Carina,2016-02-21 00:00:00,Transfer,Partner,Dog,Spayed Female,Pointer Mix,White/Tricolor,9.0
A666506,,2013-12-11 12:49:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,White/Cream,4.5
A698634,Miramar,2015-03-15 12:51:00,Return_to_owner,,Dog,Neutered Male,Brittany Mix,Brown/White,312.0
A713954,Baby,2015-10-15 17:20:00,Euthanasia,Behavior,Dog,Intact Female,American Bulldog Mix,Yellow Brindle/White,104.0
A691879,,2014-11-12 16:59:00,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,Brown Brindle,4.5
A686603,,2014-08-26 09:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,104.0
A674237,Strider,2014-06-14 14:21:00,Adoption,,Dog,Neutered Male,Labrador Retriever/German Shepherd,Black,104.0
A677748,,2014-05-04 18:24:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Red/White,52.0
A706474,,2015-06-30 09:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Black,52.0
A691721,Dozer,2015-01-27 12:20:00,Adoption,Foster,Dog,Spayed Female,Pit Bull Mix,Blue Tiger/White,36.0
A710438,,2015-08-27 18:01:00,Adoption,,Dog,Spayed Female,Boxer Mix,Tan/White,52.0
A677624,Claire,2014-06-21 14:51:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black,9.0
A699009,,2015-04-12 18:34:00,Adoption,Foster,Cat,Spayed Female,Domestic Medium Hair Mix,Tortie,9.0
A699813,Mcgruff,2015-10-14 12:51:00,Adoption,Foster,Dog,Neutered Male,Rhod Ridgeback Mix,Sable,676.0
A711324,,2015-11-27 16:54:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue,9.0
A702448,,2015-05-14 11:57:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby,4.5
A711824,Bindi,2015-11-28 13:09:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,13.5
A685725,Sylvester,2014-08-20 15:38:00,Return_to_owner,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,312.0
A708956,,2015-08-04 09:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,52.0
A681787,,2014-06-21 09:19:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black,0.8571428571428571
A696840,,2015-02-23 11:10:00,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,Brown Brindle/White,52.0
A390222,Holly,2013-12-15 17:10:00,Adoption,,Dog,Spayed Female,Jack Russell Terrier,White/Tan,468.0
A670068,Duke,2014-01-01 16:47:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Fawn,312.0
A717315,,2015-12-10 16:50:00,Transfer,Partner,Dog,Intact Female,Australian Cattle Dog Mix,White/Black,156.0
A704987,Davey,2015-06-22 16:09:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,9.0
A690064,,2014-10-13 17:47:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,White/Black,3.0
A399552,Jack,2013-10-18 13:46:00,Transfer,Partner,Dog,Neutered Male,Rat Terrier Mix,Tricolor,728.0
A670326,,2014-01-06 11:40:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black,4.0
A715368,Viola,2016-01-28 17:54:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,104.0
A702225,Edmund,2015-07-01 12:07:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,9.0
A690893,Man,2014-10-30 14:19:00,Return_to_owner,,Dog,Intact Male,Miniature Schnauzer/Miniature Poodle,Gray/Black,624.0
A707855,Petunia,2015-07-23 16:47:00,Transfer,Partner,Dog,Intact Female,Pomeranian,Buff/Red,312.0
A666954,Rufus,2013-12-07 16:47:00,Adoption,,Dog,Neutered Male,Pharaoh Hound Mix,Brown,52.0
A699754,,2015-04-06 17:51:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Chocolate,156.0
A714730,Ernest,2015-11-20 14:15:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,22.5
A680776,Milo,2014-06-15 17:56:00,Adoption,,Dog,Neutered Male,Carolina Dog Mix,Tan/Black,156.0
A651119,Susie,2013-10-31 11:55:00,Return_to_owner,,Dog,Spayed Female,Weimaraner/Labrador Retriever,Chocolate/White,104.0
A703720,,2015-05-28 13:28:00,Transfer,Partner,Dog,Unknown,Anatol Shepherd Mix,Tricolor,0.14285714285714285
A706384,,2015-07-02 18:02:00,Adoption,,Cat,Spayed Female,Siamese Mix,Lynx Point,9.0
A649966,Loki,2015-01-24 16:22:00,Return_to_owner,,Dog,Neutered Male,Chihuahua Longhair Mix,Black/Tan,156.0
A718511,Panda,2016-01-04 17:21:00,Return_to_owner,,Dog,Spayed Female,Pit Bull Mix,White/Black,208.0
A695762,Murphy,2015-03-15 15:17:00,Adoption,,Dog,Neutered Male,Beagle/Pointer,White/Red,156.0
A702873,,2015-05-19 11:16:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,4.0
A708095,Peanut,2015-07-24 13:20:00,Return_to_owner,,Dog,Neutered Male,Dachshund Mix,Red/Tan,260.0
A661838,Roscoe,2013-12-13 15:54:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black/White,52.0
A704880,Reuben,2015-09-09 12:55:00,Transfer,Partner,Dog,Neutered Male,Pit Bull/Labrador Retriever,Brown/White,52.0
A699364,Sassafras,2015-07-27 12:39:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Cream,104.0
A685122,Dally,2014-08-16 14:56:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black/White,4.5
A685162,Maple,2014-08-10 16:35:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,White/Black,2.0
A703385,Mr. Roper,2015-06-23 07:42:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,9.0
A695210,Ninja,2015-01-15 16:49:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black/White,18.0
A666940,Jake,2013-11-16 16:17:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,18.0
A642962,Max,2015-02-15 15:30:00,Return_to_owner,,Dog,Neutered Male,German Shepherd Mix,Black/Tan,156.0
A666792,Pigui,2013-12-11 12:50:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black,104.0
A678539,Baker,2014-05-13 18:49:00,Return_to_owner,,Dog,Neutered Male,Labrador Retriever Mix,Black,9.0
A674736,Barbara,2014-05-27 08:27:00,Adoption,Foster,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,9.0
A681770,Blue,2014-07-01 11:44:00,Transfer,Partner,Dog,Neutered Male,Chow Chow/German Shepherd,Brown,624.0
A679939,Tom,2014-05-28 18:15:00,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,104.0
A654358,Chica,2014-02-22 19:04:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White,364.0
A661259,Katie,2013-10-12 15:17:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,13.5
A698314,Mj,2015-05-11 17:33:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair,Brown Tabby,104.0
A673780,Honey,2014-03-15 17:03:00,Adoption,,Dog,Spayed Female,Labrador Retriever/Beagle,Tan,104.0
A675181,,2014-04-02 17:56:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Torbie,1.0
A689468,Layla,2014-10-11 15:55:00,Return_to_owner,,Dog,Spayed Female,Boxer Mix,Brown/White,260.0
A700096,Jax,2015-04-18 18:12:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Chocolate/Tan,52.0
A705214,,2015-06-14 17:42:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black/White,3.0
A656708,Peter,2015-11-24 12:56:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair,Orange Tabby,936.0
A689705,Tux,2016-02-03 00:00:00,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Black/White,104.0
A672743,Delta,2014-11-15 15:08:00,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown/Black,104.0
A687009,,2014-08-30 12:58:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1.0
A631804,Root Beer,2015-10-26 17:20:00,Return_to_owner,,Dog,Spayed Female,German Shepherd Mix,Tan,312.0
A554462,Mellow,2015-11-17 14:53:00,Return_to_owner,,Dog,Neutered Male,Maltese Mix,White,312.0
A676658,,2014-04-17 17:44:00,Adoption,,Cat,Spayed Female,Siamese Mix,Lynx Point,104.0
A720042,Han Solo,2016-02-07 12:36:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,260.0
A675650,Pablo,2014-04-11 17:53:00,Transfer,Partner,Dog,Neutered Male,American Staffordshire Terrier Mix,Red/White,104.0
A698067,,2015-03-06 09:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Orange Tabby/White,156.0
A675058,Lucky,2014-03-28 17:33:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue,9.0
A717797,Kayla,2015-12-16 15:43:00,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black/White,104.0
A691138,Kilo,2014-10-31 17:57:00,Return_to_owner,,Dog,Intact Male,Pit Bull Mix,White/Blue,104.0
A704409,Turtle,2015-07-04 10:30:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby,9.0
A663805,Alamo,2013-10-04 18:19:00,Return_to_owner,,Dog,Spayed Female,Pit Bull/Border Terrier,Black/White,312.0
A701874,,2015-05-06 09:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Black,52.0
A707178,Faith,2015-07-13 15:09:00,Transfer,Partner,Dog,Intact Female,Dachshund Mix,Red,18.0
A661614,Biscuit,2013-12-27 14:28:00,Adoption,Foster,Dog,Spayed Female,Chihuahua Shorthair Mix,White,22.5
A626966,Buster,2014-03-06 18:06:00,Return_to_owner,,Dog,Neutered Male,Miniature Pinscher Mix,Black/Tan,156.0
A719776,Daphne,2016-01-31 14:38:00,Transfer,Partner,Dog,Spayed Female,Beagle Mix,Tricolor,312.0
A699491,Oso,2015-04-08 14:38:00,Adoption,,Dog,Neutered Male,Soft Coated Wheaten Terrier Mix,White,104.0
A694897,,2015-01-08 12:38:00,Return_to_owner,,Dog,Intact Female,Pit Bull Mix,Black/White,2.0
A710282,Biscuit,2015-08-24 18:34:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,9.0
A687139,Eliza,2014-10-13 17:05:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico,9.0
A681531,,2014-06-18 12:50:00,Transfer,Partner,Cat,Intact Male,Domestic Longhair Mix,Black,0.42857142857142855
A708077,,2015-07-23 09:00:00,Transfer,SCRP,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,104.0
A680743,Ferris,2014-09-01 18:42:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,156.0
A719545,Aaron Elvis,2016-01-25 15:33:00,Adoption,,Cat,Neutered Male,Domestic Medium Hair Mix,Black,9.0
A707764,Cricket,2015-07-19 14:40:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,9.0
A677235,Eddie,2014-05-07 09:31:00,Adoption,Foster,Dog,Neutered Male,Dachshund Mix,Black/Tan,260.0
A710385,Remy,2015-09-06 14:55:00,Adoption,,Dog,Neutered Male,Australian Cattle Dog Mix,Red Merle,260.0
A719481,Bobby,2016-01-23 16:01:00,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,Yellow,4.5
A680906,Barney,2014-06-17 13:26:00,Transfer,Partner,Dog,Neutered Male,Yorkshire Terrier Mix,Black/Tan,52.0
A702440,Cornflake,2015-06-23 08:16:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Blue/White,9.0
A685950,Jojo,2014-10-11 18:44:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Tan,40.5
A668259,Possum,2013-12-05 17:17:00,Transfer,Partner,Dog,Spayed Female,Bearded Collie Mix,Black/White,22.5
A666362,Peebee,2016-01-10 11:40:00,Return_to_owner,,Dog,Neutered Male,Toy Fox Terrier Mix,Brown/White,260.0
A697621,Todd,2015-03-18 14:46:00,Adoption,,Dog,Neutered Male,Australian Kelpie Mix,Red/White,52.0
A671350,Isis,2014-02-03 15:40:00,Adoption,,Dog,Spayed Female,Pit Bull Mix,Tan/White,104.0
A682244,Lacey,2014-06-26 11:22:00,Return_to_owner,,Dog,Spayed Female,Maltese Mix,White,832.0
A704326,Oj,2015-08-11 16:55:00,Return_to_owner,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,13.5
A675680,Draco,2014-04-09 13:16:00,Return_to_owner,,Dog,Neutered Male,German Shepherd/Rottweiler,Black/Brown,156.0
A675669,,2014-04-06 12:37:00,Adoption,,Dog,Spayed Female,Queensland Heeler Mix,Blue Merle/Tan,52.0
A690691,,2014-10-24 12:37:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black/White,2.0
A678242,Coqueta,2014-05-06 15:14:00,Return_to_owner,,Dog,Intact Female,Chihuahua Shorthair Mix,Tan,156.0
A685779,,2014-08-12 15:13:00,Euthanasia,Suffering,Cat,Unknown,Siamese/Domestic Shorthair,Seal Point,13.5
A665201,,2013-10-16 16:52:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,27.0
A669416,Espana,2013-12-27 15:31:00,Euthanasia,Aggressive,Dog,Spayed Female,Canaan Dog/Pit Bull,Tan/White,52.0
A677465,,2014-04-25 15:18:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,0.0
A696524,Bertrand,2015-12-14 18:10:00,Adoption,Foster,Dog,Neutered Male,Beauceron Mix,Black/Brown,52.0
A695626,Nelly,2015-02-07 16:21:00,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black,416.0
A702649,Echo,2015-07-11 15:10:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Blue,9.0
A642317,Max,2015-08-27 14:59:00,Return_to_owner,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor,520.0
A704947,Pete,2015-08-10 13:10:00,Adoption,,Cat,Neutered Male,Domestic Medium Hair Mix,Black/White,9.0
A700574,Jersey,2016-02-16 13:06:00,Adoption,,Dog,Neutered Male,Australian Cattle Dog Mix,Red Merle/White,52.0
A691075,Sasha,2014-11-02 18:46:00,Adoption,,Dog,Spayed Female,Miniature Poodle Mix,Gray,104.0
A694731,Miley,2015-01-09 11:29:00,Transfer,Partner,Dog,Spayed Female,Miniature Schnauzer Mix,Gray,312.0
